,guid,index,label,threshold_closeness,confidence,variability,correctness,forgetfulness
0,why kind of dressing do you like on your salat? i prefer ranch? ,0,0,0.24957120373359376,0.47929260358214376,0.30536362948117585,16,0
1,"see if this makes sense to you? if stetson is, as he claims to be, jesus. and now that he has declared that crazyman4040 is satan. does that make me the anti-christ?\n\n\nfor more details look at the answer given by stetson to crazymans question from yesterday.\n\nthe question asked was. what do you catholics and jews think about some christians saying that the pope and all of the jews are the anti-christ.\n\ncheck out stetsons answer to this before you post your answer here and tell me if i am the anti-christ.",1,0,0.24921242935004234,0.5280636891722679,0.30884673331420576,17,0
2,"my son wrote a letter to santa and the letter that came back was postmarked from somewhere in india.? has santa been out-sourced? instead of his traditional red garb and cap, will this year's santa be wearing a dhoti?",2,0,0.24944719574326285,0.5235117897391319,0.3096950857062167,16,0
3,"i need this italian translated into english asap!? dov'e sei stata? ho molto sonno mi amore, a domani",3,0,0.24995250159727425,0.5068919084966182,0.30832584700729054,16,0
4,site for fort ross that i can use? facts,4,0,0.24578987323383744,0.4351145103573799,0.3048382561233246,8,0
5,"i'm 6'1"", caramel complexion, 195lbs, athletic build & want to know how female feels about interracial dating? what nationality perfers asian",5,0,0.24999374134017277,0.49749826863408086,0.30196057008338445,16,0
6,what word? no more walking round with ma head down... \n\n\ni'm korean.\n\n\nwhat meaning of this sentence?\n\n\ni'd like to know..,6,0,0.24990399100498265,0.4902015820145607,0.3179395371837145,16,0
7,what is the meaning of bonds of love in spanish? ,7,0,0.24976574546388064,0.5153053760528564,0.31096571332276773,16,0
8,do you need formal training to do divination or have a certificate? i have studied divination and fortune  telling for quite awhile. i am curious whether a formal certificate is neccessary in order to do it for others beside friends or family like online. is proof neccessary?,8,0,0.2496955291061866,0.48255090564489367,0.3032360510298034,16,0
9,why r a man become a rich person? ,9,0,0.24886917157508734,0.4663722075521946,0.307592353861255,14,0
10,"what's the most bizaare song that's been stuck in your head lately? not to long ago, i had ""the song that never ends"", & i was like ""what the fu(k? where'd that come from?""",10,0,0.24879622816418268,0.4653045848011971,0.28550059571613284,16,0
11,"speaking to jews? christians, how do you explain to a jew that they need to be a christian in order to be acceptable to god from a biblical point of view? considering that they don't believe in the new testament, what scriptures do you use from the hebrew scriptures to make your statement?",11,0,0.24931738060271458,0.5261269859969616,0.31118025417149403,17,0
12,"reasons for people going to the usa? (living/ working/ studying)? give me some serious answers, please. \npreferably by topics.\nthank you for your help!",12,0,0.24999863113559653,0.4988300152122974,0.31334889750986317,16,0
13,is the bible just a version of  aesop's fables? ,13,0,0.24999391227262757,0.49753266796469686,0.3029161467697455,16,0
14,"mr. curious, what do you know about the mountain meadows massacre? ",14,0,0.24839524032477941,0.45994054824113845,0.2970790827344045,15,0
15,is there any negative impact of the food fortification program? ,15,0,0.244237890359183,0.4240914389491081,0.3029465956263296,11,0
16,"does technology such as yahoo answers isolate people, or gather them? ",16,0,0.2497810359187278,0.48520256504416465,0.3141944489561781,16,0
17,"why can't some people pick the correct category to post a question? i see questions here that have nothing to do with the category. why don't people take a little time and not post the question just any place, but the right place. that's kind of rude.",17,0,0.2494760635537292,0.4771103419363499,0.30048795241069354,14,0
18,how do you say merry christmas in japanise? ,18,0,0.24998459847364074,0.5039244778454304,0.3139808907587198,14,1
19,what is the hardest thing about moving to america?  tell me where you are from when you answer.? what is the hardest thing about living her for the first time after moving from another country.  state where you are from.,19,0,0.24998247761042786,0.495814024657011,0.30297805782163334,16,0
20,is it true we see with our brains rather than our eyes? ,20,1,0.24626105469988646,0.5611469157040119,0.33950843090760047,14,0
21,"is infinite considered to be an integer? too many people who don't know what they're talking about responded to my other question with infinite.  that's not considered an integer, correct?",21,1,0.24542745153150722,0.5676206216216088,0.33536568253161375,14,0
22,i need math help...? payment standard-$655\ntotal tenant payment-$168\nmaximum subsidy-=$487\n\nmaximum subsidy-$487\n40 percent of monthly adjusted income-+$223\nmaximum allowable gross rent**-=$710,22,1,0.2404425476889651,0.5977622233331203,0.34444137037327915,15,0
23,"toy has 4.45 in quarters and dimes.she has 8 more quarters than dimes,how many coins of each type does she has show your work",23,1,0.23780429111946894,0.6104341834783554,0.3462170033094749,15,0
24,solve? help me please?? (5)/(4x)+(1)/(x)=(3)/(4),24,1,0.2384447587746763,0.6074953079223633,0.343731403115581,16,0
25,describe projectile motion.? with the formulae,25,1,0.2385656150807222,0.6069316834211349,0.3423106967338204,15,0
26,how did the electron microscope contribute to our knowledge of cells? ,26,1,0.2419027644778493,0.5899846404790878,0.34068497248589685,15,0
27,"is it creepy to walk into a cemetery that you don't have any relatives or anyone you don't know buried there? i went on a walk today and passed by a cemetary and went in to just look.  i have seen so many stories on tv and other media about waking up the dead and other weird things.  i just walked in and looked at a few head stones.  i didn't stomp, spit or talked badly about anyone while i was ther.  in fact i said a prayer to the people that were bury there.  i guess i am a little paranoid about being cursed.  please tell me what you think.",27,1,0.24141427024225526,0.40734078697860243,0.3595172693914739,8,0
28,how much gasoline can be made from 1 barrell of crude oil? or how much crude does it take to make 1 gallon of gasoline?,28,1,0.23916803448694424,0.6040767289698123,0.3488086846745083,15,0
29,is there really gold at the end of the rainbow? ive tried to follow one and i dont think i ever got to the end so im not sure have you heard of anyone finding it is it real gold?,29,1,0.24422593880211935,0.5759872436523438,0.3518444393291166,13,0
30,do people that use sign language stutter when they sign if they normally would stutter if speaking vocally? ,30,1,0.2439366933274677,0.5778672374784947,0.3450060179094903,15,0
31,cells in a many cell organism all _________? a. have similar shapes\nc.are about the same size\nb. work together to keep the organism alive\nd. perform similar functions,31,1,0.2382378175931295,0.6084535956382752,0.34359893166692784,16,0
32,"when you breathe, where does the carbon come from? when you take in air, you're taking in oxygen (o2). when you breathe out, you let out carbon dioxide (co2).",32,1,0.23801608955898482,0.6094710484147072,0.3436410379421073,16,0
33,why the total magnetic moment for an electron is anti-parallel to the total angular momentum of the electron? ,33,1,0.23774498954159795,0.6107023507356644,0.3447361896856198,15,0
