,guid,index,label,threshold_closeness,confidence,variability,correctness,forgetfulness
0,When did Mount St. Helen last have a significant eruption ?,0,0,0.24978736968904516,0.48541815131902694,0.33787448026335476,12,0
1,What was the name of the first Russian astronaut to do a spacewalk ?,1,0,0.249845226126542,0.5124408148229123,0.33638871349069316,12,0
2,What Scottish poet penned To a Mouse and To a Louse ?,2,0,0.24894509011218313,0.4675206236541271,0.32530108970388594,10,1
3,"What President lived at 219 North Delaware Street , Independence , Missouri ?",3,0,0.24825312207365657,0.5417956687510014,0.3316036685388265,14,0
4,What was Thatcher 's first name ?,4,0,0.24899868328526417,0.5316435888409614,0.3340418801997751,14,0
5,Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?,5,0,0.24999495120310583,0.5022469528019429,0.32678636580057024,13,0
6,Who does data collection in tourism ?,6,0,0.2496576574144341,0.481497497856617,0.34462944523027345,12,0
7,Who is the president of Stanford University ?,7,0,0.24816662300889084,0.5428179517388344,0.3358087253293759,14,0
8,"Name the company that used the line , `` Even your best friend won 't tell you '' in its ad ?",8,0,0.24978957660433387,0.48549402207136155,0.3230844391973058,14,0
9,Who was the first US President to ride in an automobile to his inauguration ?,9,0,0.24811507713165176,0.5434156984090805,0.3327905624501257,14,0
10,Who painted `` Soft Self-Portrait with Grilled Bacon '' ?,10,0,0.24821687713623344,0.5422270394861698,0.33572567758915794,14,0
11,What dumb-but-loveable character did Maurice Gosfield play on The Phil Silvers Show ?,11,0,0.2456945158463216,0.43438381180167196,0.330922794624567,6,0
12,When did Fraze get his first patent for the pull-tab can ?,12,0,0.24999928883518296,0.4991566941142082,0.3331649960703596,12,0
13,Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?,13,0,0.24777095626391255,0.5472127497196198,0.3354091708428024,14,0
14,What year did Apartheid start ?,14,0,0.24947874545531912,0.5228309996426106,0.3299758670450826,14,0
15,Who is Imam Hussain Ben Ali whom Shia people believe in ?,15,0,0.24850521346089507,0.5386624693870544,0.33175538001785504,14,0
16,What year did the War of 1812 begin ?,16,0,0.24998226146418218,0.4957882858812809,0.3308765124041159,13,0
