,guid,index,label,threshold_closeness,confidence,variability,correctness,forgetfulness
0,you are stuck in an elevator with me.  in your pocket you have a rubber band and $5.  what do we do? ,0,0,0.24266578851887413,0.41435998901724813,0.304504986516427,10,0
1,"misjudging someone.? little story: \n\nthere was this lady secretary who always wore the same thing day in and day out, lived in a poor part of town and saved all she had.\n on the end she ended up giving $400k to the children's charity.\n\n at work people judged her as cheap and stingy, and uncaring, but underneath that same clothing she wore day in and day out lurked a mother theresa.\n\n does anyone know anyone like this where you would misjudge a person, and they turned out to be someone wonderful or caring?",1,0,0.245890758889362,0.43589663729071615,0.3044979875458451,11,0
2,looking for architectural or line design for english channel tunnel? none,2,0,0.23367533621709352,0.3722319923341274,0.28850900887363046,10,0
3,why do smokers feel they have the right to smoke in public?  i should have the right not to second hand smoke. ,3,0,0.2442070012387245,0.42388824820518495,0.3093940667797381,11,0
4,can anyone tell me something about sufizm and were i can i found something about it? ,4,0,0.23111317113223537,0.36257064044475557,0.2822031762822443,8,1
5,"have you noticed that back in the day they were called prophets?  now they're just called loonies.? kind of makes you wonder, doesn't it?",5,0,0.2487779401297454,0.4650420270860195,0.31787892534190554,12,0
6,"as pagans do you agree with the use of the term fluffy bunny and why? i'm eclectic and i understand the anger some people feel against those who don't take their belief seriously, but don't you find the term a bit degrading and doesn't it make us sound arrogant which is the same way other religions act. i thought paganism was a more inclusive belief.  yes, i know paganism is a blanket term, i use it to not exclude.  blessed be.",6,0,0.24939558324923772,0.4754151113331318,0.32460359262871774,13,0
7,whats the difference between a sl**t a sk*nk and a wh*re? just wondering,7,0,0.24863396491360998,0.46304008811712266,0.30974523270308385,12,0
8,who or where do u find your momento to get up in the morning? this isnt a emo question i would like to just here different peoples experiences. find out what makes others tick. my boy is all i need what about you?,8,0,0.24375284119408563,0.42096102982759476,0.29964551200262896,10,0
9,"how do they come up with the names for the generations? like the baby boomers, or the x-generation? ",9,0,0.24457298997462332,0.42633175700902937,0.30385561433088615,11,0
10,"where can i get (estimated) statistics on transsexuality in the us? i'm keen to get info on the numbers of transgenders, transsexuals, and people who fit in the intersexuality category",10,0,0.23551600566145497,0.37965053245425223,0.27588804121757826,10,0
11,"how do you say ""loving servant"" in italian? or other languages? i was wondering how you would say this especially in italian. loving as in ""loving-kindness"" or pure love. also, is there a way to say it ""gender neutral"" so that it can be applicable to both women and men?",11,0,0.24862590788656233,0.4629312515258789,0.3205306699438125,11,0
12,"where does the phrase, ""god bless you"", said after someone sneezes, originate from? ",12,0,0.24877101823858858,0.4649431638419628,0.31999046957345734,12,0
13,"why don't  christians accept miracle stories recorded in ancient non-biblical works? isn't it the case that evangelical christians have decided a priori to accept biblical miracles and reject all others?  aren't the apologists' ""objective standards"" for accepting or rejecting extra-biblical miracles post hoc?",13,0,0.2436448267022159,0.420280659198761,0.30716868301149064,11,0
14,which is the most nude place or city in the world? where people love to be naked,14,0,0.24774982501718973,0.4525639906525612,0.32023322271367965,11,0
15,how do people do evil deeds then go home & love  their families like nothing has happened? ,15,0,0.24889266970112067,0.4667234271764755,0.3172233178519861,12,0
16,if a girl from east rockaway marries a boy from baldwin what are their kids? degenerate is assumed....\n\n\ndiscuss.,16,0,0.2453500716436639,0.43180961683392527,0.3102987589531244,11,0
17,who one day thought 'i'm gonna eat the next thing that comes out of that chicken'? ,17,0,0.24353477899779005,0.4195934019982815,0.3153531029164131,8,0
18,do you believe god speaks to you? ,18,0,0.24779497966291103,0.45304235592484476,0.3168345016849046,11,0
19,was francis scott key thinking about rory emerald when he wrote the lyrics to the star-spangled banner? ,19,0,0.23593630563089918,0.38140955194830894,0.30636019911666557,7,0
20,how exactly does the the body produce body heat? ,20,1,0.24533313782333507,0.5683144360780716,0.3348640246149722,18,0
21,"hard challenge question!!!? the world record for free hen's egg throwing is 96.90 m, set in 1981. assuming no air resistance, what would have been the (a) throwing speed; (b) elevation angle; (c) maximum height; (d) time of flight?\n(assume acceleration due to gravity = 10m/s/s)\nthis question is possible to answer!!!\nplease show how you got the question..this would be a great help to me!!\nand best of all...best answer gets 10 points!!!! \n\n ok...i understand what everyone is saying...but in the test book these are the answers given...\n(a)31.1m/s\n(b)45 degrees\n(c)+24m\n(d)4.4s\nif anyone can help show me how they got these anwers it would be a big help",21,1,0.24887964870384074,0.5334716491401196,0.3321485043558299,19,0
