,guid,index,label,threshold_closeness,confidence,variability,correctness,forgetfulness
0,When did Mount St. Helen last have a significant eruption ?,0,0,0.2497290263837932,0.4835387237370014,0.3346957642304249,12,1
1,What was the name of the first Russian astronaut to do a spacewalk ?,1,0,0.24910379067321192,0.5299367554485798,0.33057357078138117,16,1
2,What Scottish poet penned To a Mouse and To a Louse ?,2,0,0.249824727754718,0.48676095753908155,0.32811476756433466,12,1
3,"What President lived at 219 North Delaware Street , Independence , Missouri ?",3,0,0.24574373829238563,0.5652400314807892,0.32764569710396957,17,0
4,What was Thatcher 's first name ?,4,0,0.2479500523527336,0.5452763475477695,0.32664849675189317,17,0
5,Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?,5,0,0.24894870258994187,0.5324237167835235,0.3311206633266497,17,0
6,Who does data collection in tourism ?,6,0,0.24996686555135308,0.5057562530040741,0.3433361984843592,14,2
7,Who is the president of Stanford University ?,7,0,0.2457082692251034,0.5655113026499748,0.32942521903361655,17,0
8,"Name the company that used the line , `` Even your best friend won 't tell you '' in its ad ?",8,0,0.24997175748473988,0.5053143687546253,0.3194691678025476,17,0
9,Who was the first US President to ride in an automobile to his inauguration ?,9,0,0.2462459563270675,0.5612702511250973,0.3291275897258147,17,0
10,Who painted `` Soft Self-Portrait with Grilled Bacon '' ?,10,0,0.24755390482941433,0.5494580142199993,0.3249035510702171,17,0
11,What dumb-but-loveable character did Maurice Gosfield play on The Phil Silvers Show ?,11,0,0.24855362831229402,0.46196880638599397,0.3233932658571414,11,1
12,When did Fraze get his first patent for the pull-tab can ?,12,0,0.2499042288210532,0.5097862750291824,0.32177564662321567,16,1
13,Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?,13,0,0.24517519391090814,0.5694608241319656,0.3290612468954153,17,0
14,What year did Apartheid start ?,14,0,0.2484199982052277,0.5397492364048958,0.3293259494658089,17,0
15,Who is Imam Hussain Ben Ali whom Shia people believe in ?,15,0,0.24562631614178598,0.5661338329315185,0.32926374359266,17,0
16,What year did the War of 1812 begin ?,16,0,0.24987609673055525,0.5111311845481395,0.3275851930206494,17,0
17,"What U.S. vice-president once declared : `` If you 've seen one slum , you 've seen them all '' ?",17,0,0.24606796863837882,0.5627059116959572,0.33376465254212595,17,0
18,Who developed potlatch ?,18,0,0.24930322260753277,0.5263965412974357,0.3420968942069687,15,1
19,Who invented the slinky ?,19,0,0.24941781043618183,0.5241286046802998,0.343236928379463,13,1
20,What are two plants that clothes are made from ?,20,1,0.2432567570378204,0.5821172513067723,0.3406978468718866,14,0
21,What animal migrates the farthest ?,21,1,0.23724455640053854,0.6129399999976158,0.3412051257916034,17,0
22,What animals do you find in the stock market ?,22,1,0.24496361258152308,0.57096750959754,0.361085622144115,13,0
23,What kind of flowers does detective Nero Wolfe raise ?,23,1,0.2396304482886955,0.6018309958279133,0.3459141032262383,16,1
24,What species is a colt ?,24,1,0.23460212467755243,0.6240881755948067,0.3377654120610563,17,0
25,Name a tiger that is extinct .,25,1,0.23709610354803262,0.6135953187942504,0.338579225108522,17,0
26,What is the fastest fish in the world ?,26,1,0.23581723761612908,0.6190914034843444,0.3386028822110234,17,0
27,What is the name of the dog on the Cracker Jack box ?,27,1,0.23504716024400074,0.6222818046808243,0.33801567082922096,17,0
28,What relative of the racoon is sometimes known as the cat-bear ?,28,1,0.23441151535701898,0.624853853136301,0.33339264901558074,17,0
29,What is the scientific name for elephant ?,29,1,0.23464238245985508,0.6239258550107479,0.33912756351936696,17,0
30,What is Hawaii 's state flower ?,30,1,0.24208898527364972,0.5889438852667809,0.3399743986612614,17,0
31,What breed of dog was the `` Little Rascals '' dog ?,31,1,0.23604730905156224,0.6181215092539787,0.3378020679139111,16,1
32,What are the animals that don 't have backbones called ?,32,1,0.23415248860153465,0.6258868992328643,0.34069441462269895,17,0
33,What animal has the best hearing ?,33,1,0.2376442455638989,0.6111564412713051,0.3438693564816657,17,0
34,What was the orca 's name that died of a fungal infection at Sea World ?,34,1,0.23561354851177185,0.6199435345828533,0.33412357577015867,17,0
35,What terror of the sea did Johnny Horton sing about ?,35,1,0.24820694627482529,0.5423444651067257,0.35889007344657214,12,0
36,How big is our galaxy in diameter ?,36,1,0.2452049028409033,0.5692466400563717,0.3425518909769146,16,1
37,What is the temperature of the sun 's surface ?,37,1,0.24510742794787618,0.5699469231069088,0.3454186881542242,15,0
