,guid,index,label,threshold_closeness,confidence,variability,correctness,forgetfulness
0,"iran may extend partial nuke enrichment freeze  vienna (reuters) - iran's policymakers may decide to extend  its partial freeze on uranium enrichment, a process that can  make fuel for nuclear power plants or weapons, a senior iranian  official said on friday.",0,0,0.2161339199370174,0.6840273894369602,0.2956931123042219,18,0
1,"police kill india's most wanted bandit  bangalore, india (reuters) - police have shot dead india's  most wanted bandit, koose muniswamy veerappan, accused of  killing more than 100 people, kidnapping, poaching and  smuggling from his jungle hideout, officials said on tuesday.",1,0,0.21450620796890654,0.6883979618549347,0.29982847121464234,18,0
2,"ukraine's parliament opens without quorum  kiev (reuters) - ukraine's parliament opened on wednesday  without a quorum, hurting opposition hopes of pushing through  motions to open the way for new presidential elections.",2,0,0.21316507820976474,0.6919242605566979,0.29838989746707584,18,0
3,mahathir  #39;frustrated #39; with party corruption former prime minister mahathir mohamad said he was utterly frustrated that the malay party he helped develop into malaysia #39;s dominant political force had become riddled with corruption and bribery.,3,0,0.21446384873357482,0.6885103479027748,0.3027007822585678,18,0
4,eight held in dutch filmmaker #39;s slaying police arrested eight more suspected islamic radicals wednesday in the slaying of a dutch filmmaker who criticized muslim customs.,4,0,0.21310963117724102,0.6920686565339565,0.2968703333354685,17,0
5,"sharon allows 1,000 more settler homes in west bank  jerusalem (reuters) - prime minister ariel sharon has  approved building tenders for 1,000 more israeli settlement  homes in the occupied west bank frozen earlier to avoid  upsetting the united states, political sources said on tuesday.",5,0,0.2092778566966034,0.7017972826957702,0.2943202878818212,18,0
6,"us tanks, planes strike baghdad shi #39;ite district us tanks raided the baghdad shi #39;ite muslim stronghold of sadr city in the early hours of wednesday as aircraft bombed the area and helicopters flew low overhead, witnesses said.",6,0,0.2094216974557447,0.7014405682682991,0.293604695865589,18,0
7,eu backing for romania elections the european commission says the elections in romania were conducted in an orderly manner and will not affect membership talks.,7,0,0.21994900578595322,0.6733522258698941,0.3065938171128823,17,0
8,"sudan accepts deployment of more au peacekeepers: official sudan is to accept the deployment of more african peacekeepers for the cantonment of the rebels in darfur, sudanese agriculture minister majzoub al-khalifa said wednesday, as ",8,0,0.21058525908769699,0.6985314607620239,0.29559249004824384,18,0
9,"thousands march over gaza pull-out plans crowds filled downtown jerusalem to protest at the proposed pullout, most of them orthodox jews. a huge banner behind the stage set the theme: disengagement tears the people apart.",9,0,0.21430399410029863,0.6889338664710521,0.30193408681755707,18,0
10,"kennedy cousin fighting assault accusation chicago - william kennedy smith said monday he has resigned from the humanitarian group he founded while he fights sexual assault allegations leveled by a former employee.   ""i am simply doing everything i can to protect the organization i love,"" smith said in his first public appearance since audra soulias filed a lawsuit last week alleging he sexually assaulted her five years ago...",10,0,0.23208013915204329,0.6338650844991207,0.3044665378095849,18,0
11,"nations: n. korea cloud isn't nuke blast seoul, south korea - a huge mushroom cloud that reportedly billowed up from north korea was not caused by a nuclear explosion, south korean and u.s. officials said sunday, but they said the cause was a mystery...",11,0,0.21579672051307594,0.6849412865936756,0.3001273281238111,18,0
12,"recovery operations resume at china landslide, at least 23 dead (afp) afp - recovery operations at a landslide in southwest china which left at least 23 dead and scores missing have resumed as nearby coal mines were shut for investigations into their possible role in the disaster.",12,0,0.21519419723792851,0.6865631334483624,0.2968946291821394,18,0
13,"u.s., shiites meet after deadly clashes baghdad, iraq - u.s. military officials and representatives of rebel shiite cleric muqtada al-sadr held talks sunday aimed at reducing violence in the restive baghdad slum of sadr city, a day after clashes there killed 10 people, officials said...",13,0,0.21025096356777084,0.6993716038763523,0.29049782365287447,18,0
14,darfur peace talks struggle for survival peace talks between sudan #39;s government and darfur rebels struggled for survival after one of the two rebel groups said on wednesday the negotiations had collapsed but left open the chance of resumption.,14,0,0.20926955060017613,0.7018178619444371,0.2907323108069537,18,0
15,"poll results show race for president is again a dead heat the latest new york times/cbs news poll, taken after the first debate, shows that john kerry reassured many americans of his ability to handle an international crisis.",15,0,0.24090444773189917,0.5953706048429013,0.30408884659241175,16,1
16,un chief rejects calls for resignation over alleged corruption &lt;b&gt;...&lt;/b&gt; un secretary-general kofi annan rejected on tuesday calls by some us congressmen for his resignation over an alleged corruption scandal surrounding the un-run iraqi oil-for-food program.,16,0,0.2105940031873694,0.6985094375908375,0.2968999194948236,18,0
17,"venezuela votes by large margin to retain chvez an opposition movement refused to accept the results, raising prospects for more turmoil in the world's fifth-largest oil exporter.",17,0,0.21719637414402823,0.6811177127063275,0.30119748597753554,18,0
18,hostage murder to hurt koizumi japan #39;s troop deployment in iraq beyond december is at risk as prime minister junichiro koizumi braces for a wave of public anger over the nightmare ending to the country #39;s second baghdad hostage crisis.,18,0,0.21132514268673425,0.6966592416167259,0.29736656035047077,18,0
19,"israel raid demolishes gaza homes israeli forces demolish two apartment blocks in raids on gaza, while warning of a possible attack on syria.",19,0,0.21340427427180966,0.691300093382597,0.3004644137987566,18,0
20,"al wrap: lieber dominates as yankees thump red sox  new york (reuters) - jon leiber carried a no-hitter into  the seventh inning while alex rodriguez homered, scored three  runs and drove in three more to lead the new york yankees to a  14-4 win over the boston red sox on saturday.",20,1,0.19995676714065827,0.7237034484744072,0.30252197046780915,19,0
21,"nuggets' anthony cited for marijuana possession  denver (sports network) - carmelo anthony of the denver  nuggets was cited for possession of marijuana before boarding a  team flight, but the star forward said the drug was left in his  bag by a friend.",21,1,0.20767423509074012,0.7057322651147843,0.30894974697705174,19,0
22,"it #39;s all downhill for bode miller there are few athletes as sure of their ability as bode miller. now that nobody in the world is as fast as miller -ot after three world cup races, anyway ",22,1,0.20767906151194418,0.7057205349206924,0.3107714695808259,18,0
23,bernie puts on the pressure bernie ecclestone says the british grand prix is dead - but we will have to wait and see if that is actually a reality. cancelling the british grand prix would be a major step for ecclestone as he is sure ,23,1,0.20840127819547316,0.7039576470851898,0.31334954121119724,17,0
