text,label
what are some natural remedies for a persistent cough?,2
how does the stock market typically perform during a recession?,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'sports' topic. output each generated question in the form of a numbered list separated by new lines.",4
"with recent inflation, how can i effectively manage my household budget and expenses?",5
what are some healthy ways to manage stress and anxiety? i'm feeling overwhelmed and don't know where to turn.,2
what are some healthy snacks i can eat when i'm feeling cravings for unhealthy foods?,2
what is the history of the internet and how has it evolved over time?,3
i've noticed i'm having trouble sleeping lately. are there any natural remedies that can help me get a better night's rest?,2
how can you calculate the velocity of a projectile launched at an angle?,1
what strategies are different teams using to counter the warriors' fast-paced offense?,4
how has the injury to [insert athlete name] impacted their team's chances of making the playoffs?,4
start_of_turn>model,2
what is the electoral college and how does it work in us presidential elections?,3
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'education & reference' topic. output each generated question in the form of a numbered list separated by new lines.",3
here are  new questions that fit the 'business & finance' topic:,5
here are  new questions that fit the 'business & finance' topic:,5
start_of_turn>model,4
start_of_turn>model,2
"to what extent do social media platforms influence cultural trends and values, both positively and negatively?",0
here are  new questions that fit the 'business & finance' topic:,5
how does the law of conservation of energy apply to a roller coaster?,1
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'sports' topic. output each generated question in the form of a numbered list separated by new lines.",4
tart_of_turn>user,5
tart_of_turn>user,4
"what is the pythagorean theorem, and how can it be used to solve for the length of a missing side in a right triangle?",1
"explain the process of photosynthesis, including the reactants, products, and the role of chlorophyll.",1
let me know if you'd like more examples!,3
here are  new questions that fit the 'society & culture' topic:,0
what are the fundamental differences between an ionic bond and a covalent bond? provide examples of each.,1
"what are some examples of cultural appropriation versus cultural appreciation, and how can we navigate this complex issue responsibly?",0
start_of_turn>model,4
tart_of_turn>user,2
who are the favorites to win the nba championship this year?,4
which nfl quarterback is statistically performing the best this season so far?,4
what are the primary differences between classical and operant conditioning?,3
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'science & mathematics' topic. output each generated question in the form of a numbered list separated by new lines.",1
tart_of_turn>user,1
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'business & finance' topic. output each generated question in the form of a numbered list separated by new lines.",5
"i've been experiencing frequent headaches lately, sometimes with nausea.  could this be something serious, or is it just stress?",2
who holds the record for most home runs in major league baseball history?,4
i'm concerned about my cholesterol levels. what foods should i avoid and include in my diet to manage them?,2
tart_of_turn>user,4
tart_of_turn>user,2
what impact does social media have on the formation and evolution of societal norms and trends?,0
"analyzing the recent performance of the us women's soccer team, what areas need improvement going into the next world cup cycle?",4
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'business & finance' topic. output each generated question in the form of a numbered list separated by new lines.",5
here are  new questions that fit the 'health' topic:,2
start_of_turn>model,5
can you explain the concept of quantum entanglement?,3
what are the key principles of classical conditioning?,3
"what are the fundamental laws of thermodynamics, and how do they apply to everyday life?",1
how can i invest in the stock market as a beginner?,5
here are  new questions that fit the 'sports' topic:,4
what are the historical origins of the french revolution?,3
start_of_turn>model,3
start_of_turn>model,3
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'society & culture' topic. output each generated question in the form of a numbered list separated by new lines.",0
what are the key strategies for playing successful defense in soccer/football?,4
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
is cryptocurrency a viable investment option for beginners?,5
let me know if you'd like more examples!,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'science & mathematics' topic. output each generated question in the form of a numbered list separated by new lines.",1
"what are the conditions necessary for a chemical reaction to occur, and how does the rate of a reaction change with temperature?",1
can anyone stop novak djokovic's dominance in tennis?,4
start_of_turn>model,5
what are the main causes of the american civil war?,3
"what are the early warning signs of high blood pressure, and how can it be prevented?",2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'society & culture' topic. output each generated question in the form of a numbered list separated by new lines.",0
what are some healthy ways to manage stress and anxiety without medication?,2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
tart_of_turn>user,2
how can we bridge cultural divides and promote understanding between people from different backgrounds?,0
tart_of_turn>user,4
what are the societal implications of increasing automation and artificial intelligence on the job market?,0
here are five questions that fit the 'society & culture' topic:,0
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
start_of_turn>model,1
what are the best exercises for improving my flexibility and range of motion as i get older? i want to stay active and prevent injuries.,2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'education & reference' topic. output each generated question in the form of a numbered list separated by new lines.",3
tart_of_turn>user,0
what are the major changes to the rules of golf in   ?,4
start_of_turn>model,1
what are the current interest rates for a  -year fixed-rate mortgage?,5
start_of_turn>model,4
start_of_turn>model,3
how has the portrayal of mental health in movies and television evolved over the past few decades and what impact has that had on societal perceptions?,0
start_of_turn>model,0
how does the law of gravity influence the motion of planets in our solar system?,1
describe the process of cellular respiration and its role in energy production.,1
here are  new questions that fit the 'science & mathematics' topic:,1
here are five new questions that fit the 'education & reference' topic:,3
how does cellular respiration work?,3
how does inflation affect interest rates and borrowing costs for consumers?,5
what is the difference between a comet and an asteroid?,3
"i'm worried about my family history of heart disease, what steps can i take to reduce my risk?",2
my doctor said i have high cholesterol. are there any natural ways to lower it without medication?,2
which team is favored to win the women's world cup?,4
tart_of_turn>user,2
"i'm trying to lower my cholesterol, but i'm not sure what kind of diet changes would be most effective. can you give me some tips?",2
what is the formula for calculating the velocity of a projectile launched at an angle?,1
how does the theory of relativity impact our understanding of gravity?,1
what is the pythagorean theorem and how is it used in geometry?,3
"i've noticed a small mole on my skin that has changed in color and size. should i be concerned, and what steps should i take?",2
tart_of_turn>user,0
tart_of_turn>user,0
will the    olympics in paris see any new world records broken in swimming?,4
here are  new questions that fit the 'society & culture' topic:,0
what are the pros and cons of starting a small business versus working for a corporation?,5
here are five new questions that fit the 'society & culture' topic:,0
what are some cultural traditions that you think are outdated and should be changed?,0
my anxiety has been getting worse lately. are there any natural remedies or lifestyle changes that can help manage my anxiety besides medication?,2
tart_of_turn>user,4
start_of_turn>model,2
describe the concept of entropy and give examples of how it applies to everyday phenomena.,1
tart_of_turn>user,4
let me know if you'd like more examples!,5
who is favored to win the nba championship this year and why?,4
