,guid,index,label,threshold_closeness,confidence,variability,correctness,forgetfulness
0,Who made the first airplane that could fly ?,0,0,0.24630760621099623,0.5607650704681874,0.3426427331584504,14,0
1,When did Jaco Pastorius die ?,1,0,0.24988898681367977,0.4894637204706669,0.33236131284443815,12,0
2,Who was the prophet of the Muslim people ?,2,0,0.2474304850242627,0.5506903834640979,0.3426109056454395,13,0
3,Who was the first man to return to space ?,3,0,0.24537620103641386,0.5679985217750072,0.34451669455625855,14,0
4,Who directed `` Jaws '' ?,4,0,0.24724602966761028,0.5524782843887805,0.33641572779575135,15,0
5,Who retired with 755 home runs to his credit ?,5,0,0.24693083721897302,0.5554000250995159,0.3411928840054364,15,0
6,Whose video is titled Shape Up with Arnold ?,6,0,0.24997493301470328,0.5050066940486431,0.3326345979042521,13,0
7,What company has built more than 2.5 billion little green houses since 1935 ?,7,0,0.24919207139580052,0.528424084931612,0.34055965957190615,13,0
8,"What architect originated the glass house designed the Chicago Federal Center had a philosophy of `` less is more , '' and produced plans that were the forerunner of the California ranch house ?",8,0,0.24992524297043828,0.5086462147533893,0.340123499258145,13,0
9,Who is the only president to serve 2 non-consecutive terms ?,9,0,0.24663663427664925,0.557994531840086,0.3434605403881543,14,0
10,Name the Ranger who was always after Yogi Bear .,10,0,0.24986767946978067,0.5115030661225319,0.3444218099646649,13,0
11,Who said : `` Soldiers win the battles and generals get the credit '' ?,11,0,0.24671726933678625,0.5572951190173626,0.34055074784460126,14,0
12,In what high-risk business venture did Jimmy the Greek bet and lose ?,12,0,0.2480360807422418,0.45568387135863303,0.31770741643428646,9,0
13,"Which U.S. President is buried in Washington , D.C. ?",13,0,0.2492747733403659,0.5269300326704979,0.3439483071785739,13,0
14,Who starred in the movie The War of the Worlds ?,14,0,0.2489012989782554,0.5331466592848301,0.33619765253198597,14,0
15,What American composer wrote the music for `` West Side Story '' ?,15,0,0.24955273575446532,0.4788513772189617,0.33625150923789665,8,0
16,What was her real name ?,16,0,0.24058794836511596,0.4029842711985111,0.3564214323254809,8,0
17,What army was founded by William Booth and his wife Catherine ?,17,0,0.24999391951707178,0.5024658635258674,0.33694421138847586,13,0
18,Who owns the rights on a TV program ?,18,0,0.24985209527175112,0.5121616087853909,0.3464565323748363,13,0
19,Who built the first pyramid ?,19,0,0.24511317605343397,0.5699058219790458,0.34084298857999107,14,0
20,How big is the Electoral College ?,20,1,0.24987729544482445,0.5110772088170051,0.3168538786381513,17,0
21,What is Hawaii 's state flower ?,21,1,0.2485557422704147,0.5380033910274505,0.32255350645467157,16,0
22,What kind of flowers does detective Nero Wolfe raise ?,22,1,0.2456186413796378,0.5661918319761753,0.337197060448355,17,0
23,What is Maryland 's state bird ?,23,1,0.2465027303529893,0.5591377176344394,0.3342682346195307,17,0
